game_id,side,speed,num_moves,result,panic_score,time_per_move,capture_rate,sacrifice_rate,check_rate,early_aggression,castle_move,piece_activity,avg_material_diff,gambit_tendency,sharp_opening,decisive_game,opening_name,opening_eco,status,cluster_kmeans,cluster_gmm,cluster_dbscan,cluster_hierarchical,gmm_prob_cluster_0,gmm_prob_cluster_1
3YrxyLMY,white,bullet,93,1,1.2232905982905984,110.45652173913044,0.2765957446808511,0.1063829787234042,0.0212765957446808,3,11.0,5,1.0212765957446808,0,0,1,Zukertort Opening,A05,resign,1,0,-1,0,1.0,2.4765012886593093e-18
fcmhc2GV,black,bullet,72,1,0.6403985507246377,85.34285714285714,0.25,0.0555555555555555,0.0833333333333333,2,23.0,3,1.3055555555555556,0,1,1,Sicilian Defense: Najdorf Variation,B90,resign,1,1,-1,0,0.0,1.0
knxDYq5W,white,bullet,55,1,1.4183333333333332,95.22222222222224,0.25,0.1071428571428571,0.0,1,4.0,6,0.5714285714285714,0,0,1,Hungarian Opening: Slav Formation,A00,resign,1,0,-1,0,1.0,1.9585171327415436e-21
9vzrfIrv,black,bullet,103,-1,1.6289893617021278,82.05882352941177,0.2549019607843137,0.1372549019607843,0.0980392156862745,1,11.0,7,-0.0392156862745098,0,0,1,"Queen's Indian Defense: Kasparov-Petrosian Variation, Andersson Variation",E12,resign,1,0,-1,0,1.0,5.83742955433662e-25
pHGFe1lT,black,bullet,126,1,0.7229381443298969,81.3225806451613,0.2063492063492063,0.0952380952380952,0.0317460317460317,2,13.0,5,0.5396825396825397,0,0,1,Rapport-Jobava System,D01,outoftime,1,0,-1,0,1.0,2.752372646045784e-24
WPYzAi4Z,white,bullet,75,1,1.3002232142857142,105.86486486486488,0.3157894736842105,0.131578947368421,0.0,0,7.0,5,0.6842105263157895,0,1,1,King's Indian Defense: Orthodox Variation,E91,resign,1,1,-1,0,0.0,1.0
nvybf9EQ,black,bullet,109,-1,1.1160714285714286,92.75925925925924,0.2222222222222222,0.074074074074074,0.037037037037037,3,12.0,7,-0.2592592592592592,0,1,1,Four Knights Game,C47,resign,1,1,-1,0,0.0,1.0
5oquNjYQ,white,bullet,148,-1,0.3928571428571428,81.12162162162163,0.1756756756756756,0.081081081081081,0.0135135135135135,1,10.0,6,-2.121621621621621,0,0,1,Grünfeld Defense,D80,outoftime,1,0,-1,0,1.0,1.211283538705391e-44
OJozkZH3,black,bullet,128,1,1.0129870129870129,88.12698412698413,0.21875,0.109375,0.0625,2,13.0,6,0.53125,0,1,1,Sicilian Defense: Alapin Variation,B22,outoftime,1,1,-1,0,0.0,1.0
lUP0KiqC,white,bullet,88,-1,2.210227272727273,89.25,0.2727272727272727,0.0909090909090909,0.0,0,5.0,6,0.0227272727272727,0,0,1,"Italian Game: Two Knights Defense, Modern Bishop's Opening",C55,resign,1,0,-1,0,1.0,1.720465825392897e-27
