PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,ThemeList
48QTH,4brk1/7r/p3R3/2pP2p1/2P3P1/6BP/P1Q2PK1/q7 b - - 13 38,e8f7 g3e5 a1e5 e6e5,1790,83,60,37,crushing middlegame short,https://lichess.org/9p4dUIhU/black#76,,"['crushing', 'middlegame', 'short']"
1MvwE,3q1k2/7p/p5p1/4rp2/5P1P/PQ1p2P1/2r5/3RR1K1 w - - 0 34,f4e5 d8d4 g1h1 d4f2 b3b4 f8g8,2529,97,91,409,crushing defensiveMove endgame long,https://lichess.org/1Kpyoc5g#67,,"['crushing', 'defensiveMove', 'endgame', 'long']"
2TQnF,8/P2R4/2B5/2p1p1p1/2k1Pb2/5P1p/7P/r4NK1 w - - 2 45,a7a8q f4e3 g1h1 a1f1,1199,86,94,1444,deflection endgame mate mateIn2 pin short,https://lichess.org/S0DMS66a#89,,"['deflection', 'endgame', 'mate', 'mateIn2', 'pin', 'short']"
3Itqt,1r3r1k/b1p3pp/2P5/3B1p2/P2p1Q2/3P2PP/4q3/RN2B2K w - - 0 28,b1a3 b8b2 f4f2 e2f2 e1f2 b2f2,1622,76,92,2088,advantage long middlegame quietMove,https://lichess.org/VGm7uwv5#55,,"['advantage', 'long', 'middlegame', 'quietMove']"
1WNJq,r2qk2r/ppp2pp1/b1p5/6N1/4PbQ1/8/PPR2PP1/RN4K1 w kq - 0 17,g4f4 d8d1,400,95,69,88,mate mateIn1 middlegame oneMove,https://lichess.org/hee4g4Ma#33,Ruy_Lopez Ruy_Lopez_Berlin_Defense,"['mate', 'mateIn1', 'middlegame', 'oneMove']"
4T4qy,2kr2r1/1pb1q2p/p1p1Pp2/2p2P1b/PPB3pP/4B1Q1/2P3P1/R4RK1 w - - 1 28,e3c5 e7c5 b4c5 c7g3,1331,154,44,13,advantage middlegame short,https://lichess.org/UvjwqhnH#55,,"['advantage', 'middlegame', 'short']"
0TGtI,8/r3k2p/PK2p3/8/R7/5p2/P7/8 b - - 1 47,a7a6 b6a6 e6e5 a4a3,2401,83,72,51,crushing endgame hangingPiece rookEndgame short,https://lichess.org/N8s0HzVt/black#94,,"['crushing', 'endgame', 'hangingPiece', 'rookEndgame', 'short']"
2f8hK,r4rk1/pp4bp/2n5/2p1p3/2PpP1q1/1P3N1p/PB3P2/R2Q1RNK w - - 0 24,f3h2 g4g2,1431,92,76,447,mate mateIn1 middlegame oneMove,https://lichess.org/oDRfXhAV#47,,"['mate', 'mateIn1', 'middlegame', 'oneMove']"
3Gb7i,3Q2k1/8/p3p1q1/1p6/5K2/2N3r1/PP6/8 b - - 9 50,g8h7 d8h4 h7g7 h4g3 g6g3 f4g3,1256,77,95,2406,crushing endgame long,https://lichess.org/3TCXpIyX/black#100,,"['crushing', 'endgame', 'long']"
4I8cw,3r4/p2r1pk1/1p5p/2p1P1pQ/2P1q3/P2p1NP1/1P3PP1/1B1R1K2 w - - 1 31,b2b3 e4e2 f1g1 e2d1,888,77,88,289,crushing fork middlegame short,https://lichess.org/fJTSSwuP#61,,"['crushing', 'fork', 'middlegame', 'short']"
